Z,N,A,delta_E,movement,stable,boundary_hit,success
1,1,2,18.088955895560844,0.6645551544834045,True,False,True
1,2,3,25.948691874878705,0.5010904871588238,True,False,True
2,5,7,49.59365689753531,1.6363950392061777,True,False,True
2,2,4,33.749847829521286,7.386251991478152,True,True,True
3,3,6,41.503828671459814,6.9923685385556045,True,True,True
1,3,4,29.91089094933136,6.702363861532791,True,True,True
3,4,7,44.69722694859365,8.964082202907964,True,True,True
2,3,5,38.04654271769732,6.622162960658989,True,True,True
4,4,8,66.11100502335603,2.2744658498588257,True,False,True
2,4,6,47.60205702627536,6.336109622947377,True,True,True
4,5,9,61.997445071217044,7.494161666059223,True,True,True
3,7,10,69.53590828676897,7.128755658643768,True,True,True
3,9,12,72.61411934960415,6.010573662405489,True,True,True
3,5,8,49.8889824043149,9.363316832182848,True,True,True
4,9,13,76.86824152765803,6.348734741297671,True,True,True
5,5,10,68.86824109217832,8.237529684599473,True,True,True
4,6,10,84.42025816753994,1.9905044702454155,True,False,True
2,6,8,67.96388263835524,2.892102268261406,True,False,True
5,6,11,85.17709013582953,7.032398192836198,True,True,True
3,6,9,73.80565596512497,2.11434410043933,True,False,True
5,8,13,76.32648894410886,7.751881198678983,True,True,True
4,8,12,101.11503000909124,2.2932322868136295,True,False,True
3,8,11,88.50685975225042,4.624728657066119,True,True,True
4,11,15,95.03159093252452,7.307890240550434,True,True,True
5,11,16,118.38675803742717,5.5250678584934825,True,True,True
5,7,12,103.67036549423847,1.721562905208213,True,False,True
5,9,14,115.36880693269632,1.880523283491489,True,False,True
6,6,12,88.98508887746539,5.878019410734379,True,True,True
4,12,16,99.74136952990648,6.544253778222856,True,True,True
4,10,14,108.0319289720619,5.857397985179235,True,True,True
4,7,11,94.43455809238094,2.948464037177538,True,False,True
6,9,15,101.26759019971178,5.625771255702748,True,True,True
5,10,15,112.15252744338977,7.861715826612882,True,True,True
6,7,13,90.54766797791399,7.251561119241294,True,True,True
5,12,17,142.7963394775743,1.7936019504787555,True,False,True
7,7,14,98.14172816826431,9.899168967616633,True,True,True
6,8,14,107.82050746982623,8.456698610641894,True,True,False
7,8,15,114.43739904772792,6.774139744915176,True,True,True
5,13,18,111.01973709525555,7.486482846495703,True,True,False
6,10,16,131.07371037219946,2.54338936406826,True,False,False
6,12,18,126.91525878584616,6.077921418639818,True,True,True
5,14,19,122.29235944966968,6.9231409223763825,True,False,False
6,11,17,142.9649525650384,2.5058269577881163,True,False,False
7,9,16,100.62070618814323,7.932811921172927,True,True,True
7,10,17,103.97894893150988,9.24355715035416,True,True,True
6,14,20,166.21887486942614,2.217748305130991,True,False,True
5,15,20,131.4255313895028,7.46577154499558,True,True,False
6,15,21,141.72514437503742,7.2947394462841695,True,True,True
6,13,19,125.37730047421246,5.416093401494345,True,True,False
7,11,18,113.50743606948527,9.677076462173003,True,True,True
7,12,19,139.87403197949607,5.702586499445566,True,True,True
8,8,16,108.10200056061149,8.67029629905695,True,True,True
6,16,22,154.1203477911622,8.441406381865031,True,True,False
6,17,23,130.19206943364225,7.077342353652038,True,True,True
6,18,24,172.6984311932374,4.527896488910651,True,False,False
7,13,20,130.3168982162788,7.966513985523827,True,True,False
8,9,17,134.9361584706212,5.576717625487993,True,True,False
8,11,19,127.93231449147424,6.459999816086932,True,True,True
7,14,21,145.25747714805038,7.51414697228723,True,True,False
8,10,18,128.02628445260598,5.8708381630072894,True,True,True
7,16,23,144.13181860997975,7.693224539273299,True,True,True
7,15,22,141.591112860453,10.273425819323588,True,True,True
7,17,24,202.6909091716352,1.9667543960287244,True,False,False
8,12,20,138.9083236034421,7.302989154016801,True,True,False
7,18,25,209.74478074898252,2.131256009500141,True,False,False
8,13,21,168.3694406257182,2.668493849456375,True,False,False
7,19,26,188.30903284750275,6.941811769776318,True,True,False
8,14,22,146.8377887913266,8.454199653780691,True,True,False
7,20,27,175.35108797003704,6.090955097894863,True,True,False
9,9,18,111.69590641420837,8.488865383719766,True,True,True
8,17,25,156.28576847304248,7.7299850303836495,True,True,True
7,21,28,228.58780536805716,2.50409432326131,True,False,False
9,10,19,126.36591273226804,5.9597510382756465,True,True,True
8,15,23,154.08168527361522,7.104863062463357,True,True,False
8,16,24,175.3131191438206,4.229191683788974,True,False,False
8,18,26,184.82191405468984,7.632615136852027,True,True,False
9,11,20,147.39813355030128,8.976498068828096,True,True,False
8,19,27,203.4631304877821,9.038407093718314,True,True,False
9,14,23,152.22584293261934,8.759696328588012,True,True,True
9,12,21,165.4128721946763,6.975556118749777,True,True,False
8,20,28,179.11256360549123,6.784907845943353,True,True,False
9,13,22,168.43231408700012,7.917610475737931,True,True,False
8,21,29,200.23765437419024,7.845577885242074,True,True,False
8,22,30,193.09539412156846,9.615343450663081,True,True,False
9,15,24,169.81317027696605,9.4038696734319,True,True,False
9,16,25,168.99191867035006,8.511091063819245,True,True,False
8,23,31,198.94399102692114,6.654550612677754,True,True,False
9,17,26,199.80581978562986,6.017688718314828,True,True,False
9,20,29,188.88644637593825,7.445382770350053,True,True,True
8,24,32,209.37823648049743,7.793409101476995,True,True,False
9,18,27,204.96750431532746,11.239953664870848,True,True,False
10,11,21,147.2618145583565,9.3125721617798,True,True,True
9,19,28,190.3497482351213,8.635799245200305,True,True,False
10,10,20,135.56865600092533,8.891761717886569,True,True,False
10,13,23,169.92602500663997,7.414624080637507,True,True,True
10,14,24,161.82412880161428,6.7036747550614075,True,True,True
10,12,22,144.35505896214454,9.212204071875417,True,True,True
9,21,30,249.53006548292615,2.2607320298899642,True,False,False
9,22,31,195.67920077378767,8.62438665956994,True,True,False
9,23,32,205.86811437304095,8.05538735089609,True,True,False
10,15,25,157.488996372158,8.583170693269041,True,True,False
9,24,33,226.69447043535,7.342602649031379,True,True,False
10,16,26,190.08838939722227,6.616375849586977,True,True,False
9,25,34,238.95746633367344,5.581359788928427,True,True,False
10,17,27,181.70210124209552,9.659243323877888,True,True,False
10,18,28,208.29030796644838,7.339522381339453,True,True,False
10,20,30,175.9125059305643,8.948503875143611,True,True,True
9,26,35,230.98165731178597,6.104627842284866,True,False,False
9,27,36,224.34745986647613,6.924087397469269,True,True,False
10,19,29,206.52058764514368,7.240646396387797,True,True,False
11,11,22,136.72383095532496,9.042683819652757,True,True,True
11,14,25,168.93620994562298,7.032664202372471,True,True,True
10,21,31,234.10724139288868,6.46148746915877,True,True,False
11,12,23,154.35104182935174,7.974687721480741,True,True,True
10,22,32,204.35096171240366,8.263326952348587,True,True,False
11,13,24,165.77655591899747,6.1151296174542855,True,True,True
10,23,33,230.86792678795973,7.4044950547848325,True,True,False
10,24,34,214.89127402488157,8.654294685635772,True,True,False
11,17,28,190.83387370518722,9.302912322916455,True,True,True
11,15,26,187.55864693743024,7.61918241408032,True,True,False
10,25,35,210.33047275486933,9.28864765263097,True,True,False
11,16,27,172.07098255671372,9.11956521190071,True,True,False
10,26,36,245.71976217354313,7.734318737581773,True,True,False
10,27,37,226.41879989991867,9.057422208616432,True,True,False
11,18,29,196.53200562244092,7.510869804376465,True,True,False
10,28,38,279.20357093038547,4.062365437989844,True,False,False
11,19,30,198.5642232328246,9.102180347125012,True,True,False
10,30,40,251.9981478291993,8.74855340533385,True,True,True
10,29,39,268.81999279136653,5.307476421391272,True,False,False
11,20,31,199.5876978961769,9.721080372199744,True,True,False
11,21,32,198.8408502212351,9.502397246406131,True,True,False
11,22,33,202.97413266358672,9.73869395096629,True,True,False
11,24,35,208.81912213806027,10.256352241198055,True,True,True
11,23,34,229.1416205759142,8.405092645737776,True,True,False
12,12,24,165.61314815721926,9.021264416458504,True,True,True
12,14,26,165.30252012002893,7.537315397798333,True,True,True
11,25,36,255.6888132490967,6.778039894240621,True,True,False
12,13,25,176.02837176071262,7.624895080907929,True,True,False
12,15,27,174.91598010704365,8.951829791539257,True,True,True
12,18,30,189.3915603575042,7.715400363868534,True,True,True
11,26,37,252.02850146641867,6.125588125510632,True,True,False
11,29,40,237.85076732523885,10.188146195422815,True,True,True
11,27,38,237.54506157528886,9.427470212337376,True,True,False
11,28,39,262.97060769888776,8.12985686774319,True,True,False
12,16,28,194.69135155287404,6.176854549092464,True,True,False
12,17,29,195.75332585747492,10.413778465139938,True,True,False
12,19,31,209.29386869124392,7.432090237596375,True,True,True
11,30,41,248.14223068753563,9.069600056937217,True,True,False
12,21,33,217.8085622507533,8.321040502219665,True,True,True
12,20,32,204.25119068640015,9.406512621628393,True,True,False
11,31,42,273.4199027371287,7.257369937234902,True,True,False
11,32,43,277.24025112457457,8.753276967474397,True,True,False
12,22,34,239.47906998959843,7.3805307390105215,True,True,False
11,33,44,279.87823588572064,10.368680067443158,True,True,False
12,23,35,218.25656148030612,10.207320220856143,True,True,False
12,24,36,227.7705026826079,6.462503122464734,True,True,False
12,25,37,250.63394544351831,8.995215075062466,True,True,False
12,26,38,219.8476574274173,9.3628212464281,True,True,False
12,27,39,243.7620276760681,7.752166978560839,True,True,False
13,14,27,183.8455142523835,7.503633669292185,True,True,True
13,13,26,190.45217695699466,10.101438246313752,True,True,False
13,15,28,173.05935947184844,10.350848077830063,True,True,True
12,28,40,279.26366022686125,6.854738595158177,True,True,False
12,29,41,281.61558444694674,7.563997707364366,True,True,False
